question;subject;comment;longitudeETRSGK25;latitudeETRSGK25
Keskustan tinkimätön helmi;Tämä pieni tori Tennispalatsin ja...;Tämä pieni tori Tennispalatsin ja Kampin keskuksen välissä on ehkä onnistunein tori mikä kaupungissa on pitkään aikaan rakennettu. Se on mittasuhteiltaan oikean kokoinen suhteessa siellä liikkuvaan ihmismäärään ja jotain tapahtuu aina.;25496207,999791500;6672923,000000000
Virkistävä paikka;Tästähän tuli yllättävän kiva...;Tästähän tuli yllättävän kiva tienoo.;25497683,999815500;6672666,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Sijainti on loistava ja keskeinen, luonnonläheine...;Sijainti on loistava ja keskeinen, luonnonläheinen. Eväita saa hankittus ja lähteä voi joka suuntaan kävellen, pyöräillen, sporalla, venekulljetuksella yms.;25497404,500095000;6672602,500000000
Kehittämisideani tälle paikalle!;Fredrikintori on yksi Helsingin kauneimpia...;Fredrikintori on yksi Helsingin kauneimpia toreja, mutta aivan vääränlaisessa käytössä. Alueelle pitäisi saada terasseja ja muuta jalankulkijan kannalta mieluisaa toimintaa.   Autot pois.;25496674,499825000;6672107,500000000
Hankala kulkea jalan.;Tylsä paikka odotella liikennevalojen...;Tylsä paikka odotella liikennevalojen vaihtumista. Usein haluaa vielä mennä yli viistoon, niin joutuu odottelemaan kahdet valot. Tunneli auttaa joskus mutta etenkin Sokos-Forum-suunta on tunnelinkin kautta hankala, jos ei halua päätyä Forumin s;25496587,999911500;6672994,000000000
Virkistävä paikka;Kivaa tienoota, vaikkei olekaan erityisesti...;Kivaa tienoota, vaikkei olekaan erityisesti pelkkiä kävelijöitä silmälläpitäen suunniteltu.;25496882,000117500;6672454,000000000
Virkistävä paikka;Ihana ja urbaani iltaaurinkoranta, chillaamiseen,...;Ihana ja urbaani iltaaurinkoranta, chillaamiseen, laprispuisto myös.;25498224,499775000;6672906,500000000
Kehittämisideani tälle paikalle!;Kävelyn ja pyöräilyn silta Pitkänsillan...;Kävelyn ja pyöräilyn silta Pitkänsillan rannasta Kaisaniemeen parantaisi Siltasaaren/Hakaniemen yhteyksiä keskustaan ja yhdistäisi alueen suoraan kiinni Rautatieasemaan.   Samalla, kun Kaisaniemenpuistosta tulisi luonteva läpikulkureitti Kalli;25496891,000108500;6673844,000000000
Keskustan tinkimätön helmi;Tapaamispaikka, picnicpaikka, hetken...;Tapaamispaikka, picnicpaikka, hetken levähdyspaikka ja kuitenkin kaikennäköisten tapahtumien yhteydessä.;25497070,499929000;6672732,500000000
Hankala kulkea jalan.;Hakaniemen silta pitäisi purkaa ja...;Hakaniemen silta pitäisi purkaa ja rakentaa tilalle silta, jossa on ajateltu autoilijoiden lisäksi myös jalankulkijoita.;25497640,999858500;6673816,000000000
Kehittämisideani tälle paikalle!;Kruununhaasta tarvitaan siltayhteys...;Kruununhaasta tarvitaan siltayhteys Sompasaareen. On täysin järjetöntä, että siltaa ei ole jo rakennettu - Sompasaari ja Nihti ovat Helsingin mahdollisuus jatkaa keskustaa itään. Nihdistä on lyhempi matka keskustaan kuin Kalasatamaan - silta;25498212,999786500;6673572,000000000
Kehittämisideani tälle paikalle!;Rautatientori kaipaa jotain pysyvää...;Rautatientori kaipaa jotain pysyvää toimintaa. Nyt se on läpi vuoden, muutamaa humupäivää lukuunottamatta, suuri, tuulinen ja epämiellyttävä aukio.   Ehdotan, että tänne sijoitetaan muutamia paviljonkeja tai muita väliaikaisia rakennelmia;25496887,000112500;6673164,000000000
Kehittämisideani tälle paikalle!;Pohjois-Esplanadi on Helsingin helmi....;Pohjois-Esplanadi on Helsingin helmi. Helsingin on aika osoittaa, että kaupunki on olemassa myös lapsille.   Pieni leikkipaikka Esplanadilla olisi oiva tapa kertoa, että lapset ja lapsiperheet ovat tervetulleita Helsinkiin.;25496983,000016500;6672736,000000000
Kehittämisideani tälle paikalle!;Narinkkatori olisi loistava paikka pienelle...;Narinkkatori olisi loistava paikka pienelle leikkipaikalle. Oppia voi ottaa vaikkapa Sevillan pienistä leikkipaikoista, joita on vastaavanlaisilla kaupunkitoreilla. Tilaa ei tarvita kuin aari ja samalla saadaan ilmaiseksi elävyyttä koko torin alue;25496373,000126500;6672978,000000000
Turvaton paikka;Tässä tiheää kasvustoa joiden suojissa...;Tässä tiheää kasvustoa joiden suojissa viihtyy ahdistelevia tyyppejä, ryyppyjengit yms joten muuten ihanaa hölkkäreittiä Katajanokan ympäri ei voi käyttä. Kaataisin isot puut pois jotta pimeä väki ei viihtyisi ja näkymät ja valo saisiv;25498854,500144900;6672738,500000000
Kehittämisideani tälle paikalle!;Katsokaa mallia istutusten ja korstuken...;Katsokaa mallia istutusten ja korstuken suhteen uudella alueella Eiran länsiedustalla, siinä nykypäivän urbaania rantamiljöötä, josta voi olla ylpeä eikä kerää hämäräjengiä suojiinsa.;25498778,500220900;6672656,500000000
Turvaton paikka;Tässä korkeaa tuuheaa pimentävää...;Tässä korkeaa tuuheaa pimentävää metsikköä, jonka suojiin kerääntyy ahdistelijoita, huumeongelmaisia ja ryyppyjengejä. Ei uskalla hölkätä muuten ihania Katajanokanrantoja ympäri. Metsikkö pois ja saaristolookkia tilalle.;25498840,500158900;6672724,500000000
Hankala kulkea jalan.;Vähän epäselvä reitti.;Vähän epäselvä reitti.;25497920,500079000;6672496,500000000
Hankala kulkea jalan.;Ehdotettu kävelykatu Mannerheimintien...;Ehdotettu kävelykatu Mannerheimintien puolikkaalle oli paras idea aikoihin!;25496640,999858500;6672950,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Jo valmiiksi kävelykatumainen pätkä,...;Jo valmiiksi kävelykatumainen pätkä, jota voisi aktivoida nykyistäkin enemmän terassein ja tapahtumin.;25496382,000117500;6672682,000000000
Turvaton paikka;Baanan pääty ei ole turvallinen kenellekään....;Baanan pääty ei ole turvallinen kenellekään. Lisäksi alikulkutunnelissa haisee virtsa ympäri vuorokauden.;25496404,000095500;6673284,000000000
Keskustan tinkimätön helmi;Hyvä mittakaava ja tilan tuntu, kerrankin...;Hyvä mittakaava ja tilan tuntu, kerrankin intiimi aukiotila kaupungissa. Toivoisin vaan enemmän ympärivuotista elämää.;25496675,999823500;6672108,000000000
Kehittämisideani tälle paikalle!;Tähän Tove Janssonin puistoon pitäisi...;Tähän Tove Janssonin puistoon pitäisi saada näköispatsas ja vaikka pieniä kivoja betonisia muumisyliä missä istua.;25497856,000143500;6672747,000000000
Virkistävä paikka;Mahtavat näköalat ja seesteinen, salaisen...;Mahtavat näköalat ja seesteinen, salaisen puutarhan tunnelma.;25495055,499944000;6672839,500000000
Virkistävä paikka;Erinomainen lenkkeilyreitti kauniiden...;Erinomainen lenkkeilyreitti kauniiden maisemien ja veden läheisyyden ansiosta. Tosin pimeällä vähän pelottava, kun ei liiku paljon ihmisiä.;25494839,500160000;6673067,500000000
Kehittämisideani tälle paikalle!;Tästä mattojenpesulaiturista pitäisi...;Tästä mattojenpesulaiturista pitäisi tehdä virallinen uimalaituri. Uidaan siellä nytkin mutta vaikea päästä veteen ja ylös. Paikka on rauhallinen koko kesän kun jäänmurtajat eivät liiku minnekään.;25498619,999879500;6672919,000000000
Virkistävä paikka;Korkeavuorenkatu/Kapteeninkatu on oikein...;Korkeavuorenkatu/Kapteeninkatu on oikein kiva kävelyreitti Esplanadilta meren rantaan. Koko matkan tämä on autotien vartta, mutta missään vaiheessa ei tunnu siltä, että jalankulkijat olisi unohdettu. Varsin rauhallisia katuja, paljon kivoja li;25497003,999995500;6672466,000000000
Virkistävä paikka;Hienot maisemat tässäkin, eikä liikennettä...;Hienot maisemat tässäkin, eikä liikennettä häiritsemässä.;25496348,000151500;6673824,000000000
Hankala kulkea jalan.;Kiasmalta/Postitalolta Kamppiin ei ole...;Kiasmalta/Postitalolta Kamppiin ei ole kovin nopeaa ja kivaa reittiä. Aina vähintään kahdet liikennevalot.;25496470,000029500;6673134,000000000
Hankala kulkea jalan.;Keskimääräiseen Helsingin syys/talvisäähän...;Keskimääräiseen Helsingin syys/talvisäähän olisi ihan kiva olla tunneli tai muu katettu yhteys Rautatientorilta Kaisaniemeen.;25496882,000117500;6673134,000000000
Hankala kulkea jalan.;Tunneli Forumista Kamppiin on hyvin...;Tunneli Forumista Kamppiin on hyvin mutkikas ja hankala, Forumin päässä on ihmeellisiä koukeroita ja liukuportaita matkan varrella.;25496523,999975500;6672896,000000000
Kehittämisideani tälle paikalle!;Muutetaan pohjoisespa kävelykaduksi...;Muutetaan pohjoisespa kävelykaduksi siirtämällä liikenne eteläespalle. Saataisiin kerralla hieno paraatikatu aikaiseksi.;25497086,499913000;6672779,000000000
Kehittämisideani tälle paikalle!;Makasiininröttelö törröttää rakennustelineid...;Makasiininröttelö törröttää rakennustelineiden ja pressujen alla vuosikaupalla. Miksi epämääräinen keskeneräinen tila jatkuvasti rumentamassa maisemaa?;25496511,999987500;6673454,000000000
Kehittämisideani tälle paikalle!;Kasvitieteellisen puutarhan uusi sisäänkäynti...;Kasvitieteellisen puutarhan uusi sisäänkäynti kuntoon ASAP! Aukko aitaan ja vähän puistokäytävää ei paljon maksa, hienommaksi sen ehtii sitten tehdä myöhemmin, kun rahaa löytyy.;25496958,000041500;6673558,000000000
Virkistävä paikka;Erityisesti syksyllä ja talvella suosikkikävelyp...;Erityisesti syksyllä ja talvella suosikkikävelypaikkoja.;25498256,000243500;6673414,000000000
Virkistävä paikka;Kiva kävellä venelaiturien vieressä....;Kiva kävellä venelaiturien vieressä. Kruununhaka näyttää hienolta täältä päin.;25497980,000019500;6672934,000000000
Kehittämisideani tälle paikalle!;Tämä on oikein kivaa tienoota kävellä,...;Tämä on oikein kivaa tienoota kävellä, mutta kun ei kovin usein täällä pyöri, etenkin illemmalla on vähän hankala hahmottaa kulkuyhteyksiä. Kun kadut menevät vähän miten sattuu kaarevasti ja vinosti, suuntavaisto heittää helposti. Aut;25496450,000049500;6671486,000000000
Hankala kulkea jalan.;Jalankulkuyhteys itä-länsi-suuntaan...;Jalankulkuyhteys itä-länsi-suuntaan Finlandiatalon ja museon välistä? Esim. portaat?;25496374,000125500;6673561,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Keskellä kaikkea, ei liian kiireinen...;Keskellä kaikkea, ei liian kiireinen yleensä;25496711,999787500;6672879,000000000
Virkistävä paikka;Maisema upea, veneet kesällä, iloiset...;Maisema upea, veneet kesällä, iloiset ihmiset, hiljaisempaa kuin keskustassa;25497268,000231500;6671387,000000000
Keskustan tinkimätön helmi;Ihana puisto ja kaunis vesimaisema;Ihana puisto ja kaunis vesimaisema;25496199,999799500;6673871,000000000
Hankala kulkea jalan.;Suojatie Mannerheimintien yli on väärällä...;Suojatie Mannerheimintien yli on väärällä puolella Postikatua, jos tarkoitus on mennä rautatieasemalle.;25496516,499983000;6673108,000000000
Meluisa paikka;Feissarit hiiteen;Feissarit hiiteen;25496668,499831000;6673132,000000000
Virkistävä paikka;Hieno alue, mutta sisäänkäynti väärältä...;Hieno alue, mutta sisäänkäynti väärältä puolelta.;25497011,499988000;6673577,000000000
Hankala kulkea jalan.;Liikaa epämääräisiä välisaarekkeita...;Liikaa epämääräisiä välisaarekkeita suojateilla.;25497352,500147000;6672764,000000000
Hankala kulkea jalan.;Kelvottomat työmaaopasteet;Kelvottomat työmaaopasteet;25496365,000134500;6673680,500000000
Hankala kulkea jalan.;Suora maanalainen kävely-yhteys Kampista...;Suora maanalainen kävely-yhteys Kampista rautatieasemalle puuttuu.;25496452,000047500;6673019,500000000
Virkistävä paikka;Kaupungin hienoin paikka kesäisin!...;Kaupungin hienoin paikka kesäisin! Tänne vähän paremmat vessajärjestelyt vielä, esim. siirrettävä pisuaari, niin kyllä kelpaa.;25496270,500229000;6672120,500000000
Kehittämisideani tälle paikalle!;Kieltäkää autot täältä tai tehkää...;Kieltäkää autot täältä tai tehkää ihan rehellisesti oikeaksi tieksi. Kaupungin huonoin kävelykatu, aina pitää pujotella taksien, rekkojen ja pakujen välissä.;25496706,499793000;6672234,500000000
Turvaton paikka;Varmasti Helsingin rikollisin alue....;Varmasti Helsingin rikollisin alue. Hieno puisto täysin käyttökelvoton.;25496972,500027000;6673400,500000000
Hankala kulkea jalan.;Mahdoton kävellä läpi ilman, että...;Mahdoton kävellä läpi ilman, että joku tulee kerjäämään rahaa.;25496680,249819200;6673132,500000000
Virkistävä paikka;Hietsun koriskentästä on muodostunut...;Hietsun koriskentästä on muodostunut minulle henkireikä. Hieno paikka, hyvää porukkaa. Ainoa miinus on, että hanhet kakkivat kentät aika usein pelikelvottomiksi. Jos olisi mahdollisuus saada hanhet pois tai kentät puhtaiksi (esim painepesuri;25494761,250238200;6673364,500000000
Kehittämisideani tälle paikalle!;Pistäkää koriskenttä kuntoon!;Pistäkää koriskenttä kuntoon!;25496835,250164200;6673702,500000000
Keskustan tinkimätön helmi;Café Regatta on Helsingin ylpeys!;Café Regatta on Helsingin ylpeys!;25495109,249890200;6674142,500000000
Virkistävä paikka;Yksi suosikkinäkymistäni.;Yksi suosikkinäkymistäni.;25496448,250051200;6674354,000000000
Kehittämisideani tälle paikalle!;Ainoa alueen yleinen kori on aika surkea...;Ainoa alueen yleinen kori on aika surkea tapaus. Vaneerilevy, jossa rengas ja hiekkakenttä alla, joka ei sovellu yhtään korikseen. Kunnon heittelykoria kaivataan näille seuduille!;25496688,749810700;6671764,500000000
Keskustan tinkimätön helmi;Sopivan sekularisoitunut temppeli. Sosiaalityönte...;Sopivan sekularisoitunut temppeli. Sosiaalityöntekijöiden läsnäolo ei ole tarpeen. Kunhan yksi henkilö on valvomassa.;25496446,750052700;6672944,000000000
Virkistävä paikka;Esplanadista saa aina olla ylpeä. Kiitos,...;Esplanadista saa aina olla ylpeä. Kiitos, että hoidatte sitä niin hyvin!;25497121,749877700;6672731,500000000
Kehittämisideani tälle paikalle!;Tästä on muotoutumassa vähän ongelmallinen...;Tästä on muotoutumassa vähän ongelmallinen paikka, toisen luokan nuoria haahuilemassa. Vessat kuntoon, käyvät Baanalla tarpeillaan! Ja Baanan ulostulo kaipaa myös fiksaamista, mutta sitä työstetäänkin jo.;25496402,250097200;6673330,000000000
Kehittämisideani tälle paikalle!;Joku roti tähän Ruusulankadun ongelmanuorien...;Joku roti tähän Ruusulankadun ongelmanuorien paratiisiin. Talo täysin päihteettömäksi. Vaaraksi alueen perheille.;25495750,250249200;6674419,500000000
Kehittämisideani tälle paikalle!;Sulkekaa toiminta. Eläintarhat eivät...;Sulkekaa toiminta. Eläintarhat eivät kuulu nykyaikaan.;25499092,249907200;6673554,500000000
Keskustan tinkimätön helmi;Tervasaari on mahtava paikka!;Tervasaari on mahtava paikka!;25498248,249751200;6673422,500000000
Kehittämisideani tälle paikalle!;Tästä suljettiin todella tarpeellinen...;Tästä suljettiin todella tarpeellinen otto-automaatti.;25497132,749866700;6672584,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496488,000011500;6673135,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25497360,000139500;6672727,000000000
Kehittämisideani tälle paikalle!;Freda voisi olla aika hyvä kävelykatu....;Freda voisi olla aika hyvä kävelykatu. Se on suhteellisen kapea, se ei ole päiväsaikaan kovin varjoisa ja sen varrella on paljon erilaisia kauppoja ja ravintoloita, jotka tuovat asiakkaita ja elämää.;25496396,500103000;6672540,500000000
Meluisa paikka;Hakamäentie on liikennemelun vuoksi...;Hakamäentie on liikennemelun vuoksi erittäin epämielyttävä ympäristö kävelijälle ja pyöräilijälle. Miksi näin lähelle keskustaa on pitänyt rakentaa lähes moottoritien kaltainen tie?;25494621,999877500;6677275,000000000
Kehittämisideani tälle paikalle!;Pohjois-Espa voisi olla hyvä kävelykatu....;Pohjois-Espa voisi olla hyvä kävelykatu.;25496964,500035000;6672758,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Uusi kävelykatu on todella onnistunut....;Uusi kävelykatu on todella onnistunut. Lisää tällaista Helsinkiin!;25496826,000173500;6672951,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Musiikkitalon edusta on loistava paikka...;Musiikkitalon edusta on loistava paikka oleskeluun: paikalta löytyy hyvin istumapaikkoja, sijaintiin ei kuulu liikaa autoliikenteen melu ja paikalta on mukava seurata baanan liikennettä.;25496434,000065500;6673339,000000000
Kehittämisideani tälle paikalle!;Kaivokatu kävelykaduksi välillä Mikonkatu...;Kaivokatu kävelykaduksi välillä Mikonkatu Mannerheimintie;25496756,000243500;6673061,000000000
Virkistävä paikka;Vain karttamerkintä;;25496356,000143500;6671251,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Keskeinen paikka, jonne kaikki polut...;Keskeinen paikka, jonne kaikki polut johtavat;25496826,500173000;6673164,500000000
Virkistävä paikka;Hauska paikka katsella laivoja ja veneitä...;Hauska paikka katsella laivoja ja veneitä;25497850,500149000;6673132,500000000
Keskustan tinkimätön helmi;Koffari on pussikaljoittelijan klassikko...;Koffari on pussikaljoittelijan klassikko mesta;25496242,499757000;6672092,500000000
Hankala kulkea jalan.;Paljon jalankulkijoita ja liikennettä....;Paljon jalankulkijoita ja liikennettä. Tarviiko autojen edes ajaa tästä etelämmäs? Miksi pitäisi?`Tästä eteelään koko kaupunginsta kävelykeskustaa;25496706,499793000;6672852,500000000
Kehittämisideani tälle paikalle!;Ateneuminkujan voisi kattaa lasikatolla,...;Ateneuminkujan voisi kattaa lasikatolla, jolloin katu ei tyhjenisi aina sadesäällä. Katutason yrityksetkin hyötyvät, jos katutasossa on elämää säällä kuin säällä. Nykyään painutaan nopeasti maanalaisiin tunneleihin.;25496903,500096000;6672980,500000000
Hankala kulkea jalan.;Pyöräilijöille jätetty liian kapea...;Pyöräilijöille jätetty liian kapea alue, jolloin pyöräilijät valuvat jalankulkijoiden reitille ja toisaalta jalankulkijat eivät homioi pyöräilijälle kuuluvaa tilaa.;25496417,500082000;6673164,500000000
Meluisa paikka;Liikennemelua ja epäviihtyisyyttä....;Liikennemelua ja epäviihtyisyyttä. Mannerheimintillä jalankulkijalle on tilaa, mutta näkymä on tylsä. Keskeisellä kadulla tulisi olla elämää pelkän autoliikenteen sijaan. Katutilaa tulisi antaa kahviloille, jalankulijalle, pyöräilijälle;25496639,499860000;6672932,500000000
Hankala kulkea jalan.;Puuttuva suojatie;Puuttuva suojatie;25496692,499807000;6672849,000000000
Kehittämisideani tälle paikalle!;Pysäköintipaikat voitaisiin poistaa....;Pysäköintipaikat voitaisiin poistaa. Saattoliikenne voitaisiin ohjata Elielinaukion pysäköintiluolaan tai Pasilaan.;25496753,500246000;6673078,500000000
Kehittämisideani tälle paikalle!;Lisää puita ja kasvillisuutta;Lisää puita ja kasvillisuutta;25496384,000115500;6672987,500000000
Hankala kulkea jalan.;Linja-autopysäkki ja pyöräkaistan...;Linja-autopysäkki ja pyöräkaistan puute tekee jalkakäytävästä ahtaan;25496615,499884000;6673038,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Hyvä paikka koska ei autoja tai muita...;Hyvä paikka koska ei autoja tai muita meluisia päristelijöitä. Usein kivoja tapahtumia kuten erilaisia markkinoita. Ravintoloiden terassit iso plussa myös, niitä voisi olla enemmänkin.;25496410,000089500;6672984,600000000
Virkistävä paikka;Mukava tunnelma. Ei autoliikennettä....;Mukava tunnelma. Ei autoliikennettä. Juhlaviikkojen aikana oli onnistunut konserttilava, paviljonkiravintola sekä mainioita pieniä tapahtumia. Jotain sellaista voisi olla ympäri vuoden.;25496481,500018000;6673374,300000000
Meluisa paikka;Rauhallista, kaunista ja tyylikästä...;Rauhallista, kaunista ja tyylikästä ajan patinaa.;25497054,499945000;6673585,300000000
Meluisa paikka;Melu häiritsee oikeastaan joka paikassa...;Melu häiritsee oikeastaan joka paikassa missä on moottoriliikennettä. Tämä on varmaankin meluisin risteys. Erityisesti moottoripyörien ja mopojen melu on todella kovaäänistä. Tietullit tarvittaisiin turhan ajelun lopettamiseksi.;25496597,499902000;6673009,300000000
Hankala kulkea jalan.;Isojen katujen ylittäminen kestää...;Isojen katujen ylittäminen kestää aina todella kauan.;25496573,499926000;6673011,300000000
Turvaton paikka;Ajetaan paljon ylinopeutta.;Ajetaan paljon ylinopeutta.;25496554,499945000;6673050,300000000
Hankala kulkea jalan.;Pyöräteitä johtaa kolmesta suunnasta...;Pyöräteitä johtaa kolmesta suunnasta suoraan tälle aukiolle keskelle erittäin vilkasta jalankulkua. Itse aukion status on epäselvä, koska pyöräteiden päissä ei ole liikennemerkkejä (onko aukio yhdistetty jalkakäytävä ja pyörätie? pel;25496620,499879000;6673142,500000000
Hankala kulkea jalan.;Pyörätie ja jalkakäytävä vaihtavat...;Pyörätie ja jalkakäytävä vaihtavat hämmentävästi (ja tarpeettoman oloisesti) puolta. Jos muuta ei voida tehdä, niin ainakin merkintöjä pitäisi parantaa, niin että kaikki huomaisivat asian.;25496844,900154600;6673084,600000000
Hankala kulkea jalan.;Täällä monet jalankulkijat epähuomiossa...;Täällä monet jalankulkijat epähuomiossa odottavat valojen vaihtumista pyörätiellä, mikä taas saa pyöräilijät ajamaan heidän takakauttaan jalkakäytävällä.;25496653,399846100;6673077,100000000
Hankala kulkea jalan.;Liian kapea jalkakäytävä;Liian kapea jalkakäytävä;25496638,499861000;6672967,500000000
Keskustan tinkimätön helmi;Lisää vastaavia PIENIÄ ihmisen mittakaavan...;Lisää vastaavia PIENIÄ ihmisen mittakaavan toreja, mielellään niin että tie kulkee vain yhdellä/kahdella puolella tietä, niin että kivijalkamyymälöiden on helppo laajentaa toimintaa toreille;25496682,499817000;6672094,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25497153,499846000;6672481,500000000
Hankala kulkea jalan.;Pysäköintipaikat aseman edestä tulisi...;Pysäköintipaikat aseman edestä tulisi poistaa, tai ainkain muuttaa kadunvarsipysäköinniksi kaivokadun reunaan.;25496783,500216000;6673085,500000000
Turvaton paikka;Pyörätie loppuu täysin käsittämättömästi...;Pyörätie loppuu täysin käsittämättömästi;25496632,999866500;6673051,500000000
Kehittämisideani tälle paikalle!;Alikululle tulisi saada ramppi myös...;Alikululle tulisi saada ramppi myös postitalon päähän ja pyöräliikenne idästä länteen/vv tulisi ohjata sitä pitkin;25496643,999855500;6673288,500000000
Keskustan tinkimätön helmi;Korkaevuorenkatu on loistavaa kävely-ympäristö?...;Korkaevuorenkatu on loistavaa kävely-ympäristöä keskustassa puutteistaan huolimatta. Varmaan ison eron tekee autoliikenteen vähyys;25497021,499978000;6672090,500000000
Kehittämisideani tälle paikalle!;Virheelliseen lastauspysäköintiin...;Virheelliseen lastauspysäköintiin tulisi kiinnittää enemmän huomiota. Koko aluuen voisi eristää pollareilla ja tehdä risteysten yhteyteen lastauspaikkoja pariisin malliin.;25496879,500120000;6672353,500000000
Kehittämisideani tälle paikalle!;Miksi kaupungin kauneninta tilaa tuhlataan...;Miksi kaupungin kauneninta tilaa tuhlataan pysäköintiin. Lähellä on esim tähtitorninmäen luola, joka ei koskaan ole täynnä. Pysäköinnin voisi hyvin siirtää sinne.;25497413,000086500;6672473,000000000
Virkistävä paikka;Vain karttamerkintä;;25497920,000079500;6671659,000000000
Turvaton paikka;Voisiko pyörätiellä saada jalankulku...;Voisiko pyörätiellä saada jalankulku kielletty-merkin. Jatkuvasti turisteja jokta eivät tiedä että kauppatorin laitaa ei kulje jakakäytävä vaan pyörätie ja kävelijöiden tulisi kulkea torialueella;25497549,999949500;6672778,000000000
Turvaton paikka;Pyörätie tulisi merkitä paremmin,...;Pyörätie tulisi merkitä paremmin, jotteivät jalankulkijat käyttäisi sitä;25497644,999854500;6672810,000000000
Meluisa paikka;Olisi loistava paikka saada lisää...;Olisi loistava paikka saada lisää pöhinää, mutta sopiva, ihmisen mittakaavassa oleva, tori on pyhitetty autojen pysäköintiin. Lisäksi ajonopeudet pohjoisrannassa ovat liian kovia.;25497680,499818900;6672990,500000000
Kehittämisideani tälle paikalle!;Aleksanterinkatu tulisi poistaa senaatintorin...;Aleksanterinkatu tulisi poistaa senaatintorin eteläreunalta, niin että paikalle jäisi vain raitiotiekiskot torin tasoon ja (jo nyt vähäinen) moottoriajoneuvoliikenne kulkisi muuta kautta. Tämä mahdollistaisi kahviloiden/myymälöiden paremman;25497330,500169000;6672914,500000000
Kehittämisideani tälle paikalle!;Pohjois-esplanadin sulkeminen ajoneuvoliikenteelt?...;Pohjois-esplanadin sulkeminen ajoneuvoliikenteeltä. Tilalle kahvila/ravintola-paviljonkeja. esimerrkiä voisi ottaa tukholmasta kungsträdgårdista.;25496910,500089000;6672760,500000000
Turvaton paikka;Vain karttamerkintä;;25495670,499829000;6672424,500000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25497864,000135500;6672785,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Nuoriso on vihdoinkin ottanut musiikkitalon...;Nuoriso on vihdoinkin ottanut musiikkitalon raput ja kansalaistorin omikseen. Toivottavasti toiminta saa jatkua, eikä ankeuttajat pääse terrorisoimaan aluetta.;25496447,000052500;6673370,000000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25496991,500008000;6672728,000000000
Hankala kulkea jalan.;jalankulkijat ja pyöräilijät liian...;jalankulkijat ja pyöräilijät liian ahtaalla samassa paikassa.;25497265,500234000;6673696,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;allas-puiston tilat mainiot-keidas keskellä...;allas-puiston tilat mainiot-keidas keskellä kaupunkia.;25497667,499832000;6672678,500000000
Keskustan tinkimätön helmi;kesäinen hietalahden tori ja siellä...;kesäinen hietalahden tori ja siellä kirppismyyjät, torikahvilat. parasta helsinkiä;25496115,499884000;6672178,500000000
Turvaton paikka;turistibussit pois. maailmalla kaikkialla...;turistibussit pois. maailmalla kaikkialla turistikin jaksaa kävellä.;25495865,500134000;6673318,500000000
Kehittämisideani tälle paikalle!;ei tähän kehittämistä saada. keskelle...;ei tähän kehittämistä saada. keskelle helsinkiä on rakennettu laatikkomaisia lähiökerrostaloja! todella rumaa.;25496525,499974000;6673668,500000000
Hankala kulkea jalan.;Pyöräilijät ajavat miten satuu, koska...;Pyöräilijät ajavat miten satuu, koska pöyrätiet vaihtavat kadun puolta.;25495285,500214000;6675176,500000000
Turvaton paikka;Pyöräilijät ajavat jalkakäytävällä...;Pyöräilijät ajavat jalkakäytävällä ja kääntyvät kulman takaa suoraan jalankulkijoiden päälle.;25495441,500058000;6675012,500000000
Virkistävä paikka;Puistot ovat parasta kaupunkia.;Puistot ovat parasta kaupunkia.;25495231,499768000;6674356,500000000
Kehittämisideani tälle paikalle!;Istutuksia! Puita!;Istutuksia! Puita!;25495157,499842000;6675064,500000000
Virkistävä paikka;Tämän kesän yllättävä pikku Helmi,...;Tämän kesän yllättävä pikku Helmi, kauniit näkyvät, rauhallinen. Kävin ravintolapäivän iltana ja ilmeisesti ravintolapäivän jämät jääneet, yllättävän sotkuista oli.;25498256,000243500;6673423,000000000
Virkistävä paikka;Pidän kasvitieteellisestä puutarhasta!...;Pidän kasvitieteellisestä puutarhasta! Harmittavan harvoin ehdin siellä käymään.;25497083,999915500;6673619,000000000
Virkistävä paikka;Pyöräilyretkien vakioreitti maiseman...;Pyöräilyretkien vakioreitti maiseman puolesta. Ravintola/hotelliveneet tuovat kivan tunnelman.;25495784,000215500;6671979,000000000
Virkistävä paikka;Aborretumissa voi hiljentyä ja oppia...;Aborretumissa voi hiljentyä ja oppia;25500308,500190900;6678514,000000000
