Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
COLE,Asian and Pacific Islander,808,1124,0.4%,116,187793
CORPUS,Asian and Pacific Islander,807,1125,25.6%,9472,3150
GERONIMO,Asian and Pacific Islander,807,1125,35.7%,12558,2263
DIN,Asian and Pacific Islander,807,1125,66.9%,20456,1206
WIN,Asian and Pacific Islander,807,1125,78.8%,23237,1024
DUTTA,Asian and Pacific Islander,807,1125,89.7%,25724,900
MODY,Asian and Pacific Islander,806,1130,76.8%,22799,1050
DOE,Asian and Pacific Islander,805,1131,6.9%,2834,11603
EUGENIO,Asian and Pacific Islander,805,1131,51.5%,16802,1564
PAO,Asian and Pacific Islander,805,1131,85.3%,24763,944
PANDEY,Asian and Pacific Islander,805,1131,88.5%,25503,910
BONIFACIO,Asian and Pacific Islander,804,1135,45.1%,15167,1784
ANDRADE,Asian and Pacific Islander,803,1136,1.7%,666,46702
CARREON,Asian and Pacific Islander,803,1136,8.7%,3538,9218
MAU,Asian and Pacific Islander,803,1136,31.7%,11388,2537
CHIOU,Asian and Pacific Islander,803,1136,93.0%,26566,863
ELLIS,Asian and Pacific Islander,801,1140,0.4%,121,181934
HANSEN,Asian and Pacific Islander,801,1140,0.6%,193,133474
LEU,Asian and Pacific Islander,801,1140,36.7%,12911,2183
SUE,Asian and Pacific Islander,801,1140,55.7%,17935,1437
ABELLA,Asian and Pacific Islander,799,1144,44.8%,15154,1785
SUGIMOTO,Asian and Pacific Islander,799,1144,84.8%,24807,942
SUNGA,Asian and Pacific Islander,799,1144,92.7%,26587,862
HENDERSON,Asian and Pacific Islander,798,1147,0.4%,101,210094
WEE,Asian and Pacific Islander,798,1147,61.6%,19355,1295
ARAKAWA,Asian and Pacific Islander,797,1149,80.7%,23863,988
KAMAL,Asian and Pacific Islander,795,1150,49.0%,16349,1622
PARAS,Asian and Pacific Islander,794,1151,42.5%,14604,1869
ABBASI,Asian and Pacific Islander,793,1152,49.2%,16444,1611
CHADHA,Asian and Pacific Islander,791,1153,89.0%,25945,889
KENNEDY,Asian and Pacific Islander,790,1154,0.5%,130,171636
BUENO,Asian and Pacific Islander,790,1154,6.2%,2591,12845
KIN,Asian and Pacific Islander,790,1154,57.7%,18569,1370
ROLDAN,Asian and Pacific Islander,789,1157,7.8%,3220,10168
KAHN,Asian and Pacific Islander,787,1158,5.4%,2284,14570
ESCOBAR,Asian and Pacific Islander,786,1159,1.8%,723,42955
DUENAS,Asian and Pacific Islander,786,1159,7.9%,3297,9976
ENCARNACION,Asian and Pacific Islander,784,1161,16.7%,6633,4703
TOYAMA,Asian and Pacific Islander,784,1161,82.8%,24701,947
BOSE,Asian and Pacific Islander,781,1163,27.4%,10357,2849
MUKAI,Asian and Pacific Islander,781,1163,77.9%,23594,1002
POBLETE,Asian and Pacific Islander,780,1165,63.6%,20191,1227
UPPAL,Asian and Pacific Islander,780,1165,87.6%,25926,890
BAO,Asian and Pacific Islander,779,1167,88.8%,26215,877
WALIA,Asian and Pacific Islander,777,1168,82.0%,24701,947
GREGORIO,Asian and Pacific Islander,776,1169,20.7%,8151,3746
CHOUDHRY,Asian and Pacific Islander,776,1169,75.0%,23072,1034
MARCELO,Asian and Pacific Islander,773,1171,48.6%,16616,1589
YAMASHIRO,Asian and Pacific Islander,773,1171,84.2%,25329,918
MU,Asian and Pacific Islander,773,1171,87.0%,25945,889
QUANG,Asian and Pacific Islander,772,1174,95.0%,27821,813
SOLANKI,Asian and Pacific Islander,771,1175,93.2%,27439,827
BHANDARI,Asian and Pacific Islander,770,1176,90.1%,26761,855
SAHOTA,Asian and Pacific Islander,769,1177,87.5%,26163,879
MITTAL,Asian and Pacific Islander,768,1178,86.4%,25945,889
GALLARDO,Asian and Pacific Islander,767,1179,3.4%,1460,22435
CARPIO,Asian and Pacific Islander,766,1180,14.6%,6031,5250
ROSE,Asian and Pacific Islander,764,1181,0.5%,168,146924
ANDREWS,Asian and Pacific Islander,763,1182,0.6%,206,129320
HSUEH,Asian and Pacific Islander,763,1182,95.5%,28194,799
MATIAS,Asian and Pacific Islander,762,1184,10.4%,4476,7295
TAMASHIRO,Asian and Pacific Islander,762,1184,83.8%,25524,909
MAHAJAN,Asian and Pacific Islander,762,1184,89.8%,26898,849
NAQVI,Asian and Pacific Islander,760,1187,83.3%,25466,912
VICENTE,Asian and Pacific Islander,758,1188,11.9%,5049,6374
MCDONALD,Asian and Pacific Islander,757,1189,0.4%,127,176094
AKIYAMA,Asian and Pacific Islander,757,1189,81.0%,24969,934
MATSUURA,Asian and Pacific Islander,757,1189,87.2%,26446,868
BISWAS,Asian and Pacific Islander,755,1192,86.3%,26267,875
UEHARA,Asian and Pacific Islander,754,1193,87.4%,26566,863
FUKUMOTO,Asian and Pacific Islander,754,1193,89.5%,27049,842
KHONG,Asian and Pacific Islander,754,1193,95.1%,28353,793
KY,Asian and Pacific Islander,752,1196,86.1%,26306,873
MARASIGAN,Asian and Pacific Islander,752,1196,88.5%,26876,850
KIEU,Asian and Pacific Islander,751,1198,96.8%,28856,776
HABIB,Asian and Pacific Islander,750,1199,22.0%,8850,3404
SHAHID,Asian and Pacific Islander,750,1199,49.7%,17282,1508
NISHIKAWA,Asian and Pacific Islander,750,1199,84.6%,25991,887
AWAN,Asian and Pacific Islander,749,1202,70.0%,22443,1070
DUAN,Asian and Pacific Islander,748,1203,71.6%,22870,1045
BABU,Asian and Pacific Islander,748,1203,86.9%,26614,861
VOHRA,Asian and Pacific Islander,748,1203,90.4%,27439,827
YOSHIKAWA,Asian and Pacific Islander,747,1206,83.1%,25735,899
SUGIYAMA,Asian and Pacific Islander,746,1207,85.8%,26419,869
COLOMA,Asian and Pacific Islander,745,1208,55.3%,18811,1346
UYEHARA,Asian and Pacific Islander,745,1208,83.3%,25845,894
MARSHALL,Asian and Pacific Islander,744,1210,0.4%,125,177213
TOMAS,Asian and Pacific Islander,744,1210,15.2%,6406,4894
VIRANI,Asian and Pacific Islander,744,1210,85.6%,26419,869
LACSON,Asian and Pacific Islander,744,1210,89.6%,27361,830
QUIAMBAO,Asian and Pacific Islander,744,1210,90.7%,27646,820
PANCHAL,Asian and Pacific Islander,744,1210,91.3%,27771,815
DURAN,Asian and Pacific Islander,742,1216,1.1%,434,68046
KAY,Asian and Pacific Islander,742,1216,3.2%,1402,23189
ARAKI,Asian and Pacific Islander,742,1216,80.0%,25098,927
AHLUWALIA,Asian and Pacific Islander,742,1216,83.9%,26056,884
HON,Asian and Pacific Islander,741,1220,34.5%,13075,2147
MEHRA,Asian and Pacific Islander,739,1221,79.3%,25006,932
BUTLER,Asian and Pacific Islander,738,1222,0.3%,98,210879
SABLAN,Asian and Pacific Islander,738,1222,62.6%,20831,1178
VIRK,Asian and Pacific Islander,738,1222,85.1%,26469,867
HARRISON,Asian and Pacific Islander,737,1225,0.4%,128,175577
OHARA,Asian and Pacific Islander,737,1225,3.5%,1565,21068
ZAFAR,Asian and Pacific Islander,737,1225,71.8%,23191,1027
TE,Asian and Pacific Islander,737,1225,86.7%,26876,850
BHARDWAJ,Asian and Pacific Islander,737,1225,88.4%,27258,834
KAWAGUCHI,Asian and Pacific Islander,736,1230,79.7%,25169,924
PATTERSON,Asian and Pacific Islander,735,1231,0.4%,104,198557
WEST,Asian and Pacific Islander,735,1231,0.4%,115,188464
YOSHIMOTO,Asian and Pacific Islander,735,1231,84.6%,26419,869
INTHAVONG,Asian and Pacific Islander,735,1231,87.9%,27207,836
ABALOS,Asian and Pacific Islander,734,1235,36.0%,13658,2037
SNYDER,Asian and Pacific Islander,733,1236,0.5%,144,159363
PUN,Asian and Pacific Islander,733,1236,85.1%,26614,861
KAMATH,Asian and Pacific Islander,733,1236,93.0%,28489,788
CORTES,Asian and Pacific Islander,732,1239,2.4%,1061,30141
ORDONEZ,Asian and Pacific Islander,732,1239,6.4%,2906,11366
FAROOQ,Asian and Pacific Islander,732,1239,75.9%,24350,964
KODAMA,Asian and Pacific Islander,732,1239,82.4%,25969,888
BURNS,Asian and Pacific Islander,730,1243,0.5%,141,162153
HUNT,Asian and Pacific Islander,730,1243,0.5%,157,151986
GONZAGA,Asian and Pacific Islander,730,1243,40.7%,15093,1793
SANDERS,Asian and Pacific Islander,729,1246,0.3%,88,220902
KANE,Asian and Pacific Islander,728,1247,1.5%,636,48527
BUENAVENTURA,Asian and Pacific Islander,728,1247,69.2%,22770,1052
BAJAJ,Asian and Pacific Islander,727,1249,86.8%,27150,838
KAZI,Asian and Pacific Islander,725,1250,76.3%,24642,950
ISHIHARA,Asian and Pacific Islander,725,1250,84.9%,26783,854
RAHIM,Asian and Pacific Islander,724,1252,39.0%,14689,1856
HIDALGO,Asian and Pacific Islander,723,1253,4.3%,1967,16824
NUNEZ,Asian and Pacific Islander,722,1254,0.8%,306,90208
RAYMUNDO,Asian and Pacific Islander,722,1254,32.8%,12815,2203
KABIR,Asian and Pacific Islander,722,1254,70.2%,23167,1028
ARAI,Asian and Pacific Islander,722,1254,75.9%,24615,951
MACARAEG,Asian and Pacific Islander,722,1254,90.4%,28194,799
BHARGAVA,Asian and Pacific Islander,722,1254,92.7%,28751,779
LAWRENCE,Asian and Pacific Islander,721,1260,0.6%,219,124321
AKBAR,Asian and Pacific Islander,721,1260,38.2%,14495,1886
LEON,Asian and Pacific Islander,720,1262,1.2%,483,62034
THI,Asian and Pacific Islander,720,1262,90.6%,28298,795
TAKATA,Asian and Pacific Islander,719,1264,78.2%,25304,919
CHHAY,Asian and Pacific Islander,719,1264,92.1%,28700,781
KRISHNAMURTHY,Asian and Pacific Islander,719,1264,96.1%,29696,748
FIGUEROA,Asian and Pacific Islander,718,1267,1.0%,398,72533
BASA,Asian and Pacific Islander,718,1267,65.6%,22053,1095
KHO,Asian and Pacific Islander,718,1267,91.3%,28548,786
RONQUILLO,Asian and Pacific Islander,717,1270,19.9%,8426,3602
MIYAKE,Asian and Pacific Islander,717,1270,80.4%,25885,892
MING,Asian and Pacific Islander,715,1272,16.1%,6968,4434
YANO,Asian and Pacific Islander,713,1273,69.1%,23104,1032
HAYES,Asian and Pacific Islander,712,1274,0.4%,117,187473
DAY,Asian and Pacific Islander,712,1274,0.7%,271,101676
ABDULLAH,Asian and Pacific Islander,712,1274,12.2%,5460,5859
MEMON,Asian and Pacific Islander,712,1274,79.7%,25865,893
CHUM,Asian and Pacific Islander,712,1274,84.9%,27128,839
NIU,Asian and Pacific Islander,710,1279,91.5%,28856,776
LOZANO,Asian and Pacific Islander,707,1280,1.7%,734,42567
NGUYENTHI,Asian and Pacific Islander,707,1280,96.1%,30061,736
SIMMONS,Asian and Pacific Islander,706,1282,0.4%,103,201650
JENKINS,Asian and Pacific Islander,705,1283,0.3%,95,213737
RAMESH,Asian and Pacific Islander,703,1284,88.8%,28375,792
SUMIDA,Asian and Pacific Islander,702,1285,81.3%,26538,864
DELGADO,Asian and Pacific Islander,701,1286,0.7%,282,98675
AGUIRRE,Asian and Pacific Islander,701,1286,1.2%,508,58918
VIERNES,Asian and Pacific Islander,701,1286,72.2%,24200,971
ADACHI,Asian and Pacific Islander,700,1289,84.0%,27289,833
APOSTOL,Asian and Pacific Islander,699,1290,59.3%,20831,1178
VISWANATHAN,Asian and Pacific Islander,699,1290,93.4%,29696,748
MEN,Asian and Pacific Islander,698,1292,77.9%,25805,896
ILAGAN,Asian and Pacific Islander,698,1292,88.9%,28584,785
GORDON,Asian and Pacific Islander,697,1294,0.4%,151,154934
HAGUE,Asian and Pacific Islander,697,1294,12.3%,5607,5676
YO,Asian and Pacific Islander,697,1294,87.1%,28166,800
SIMPSON,Asian and Pacific Islander,696,1297,0.4%,145,158241
AZAM,Asian and Pacific Islander,696,1297,74.8%,25041,930
SALCEDO,Asian and Pacific Islander,695,1299,5.1%,2440,13593
MANI,Asian and Pacific Islander,695,1299,51.1%,18682,1359
HEE,Asian and Pacific Islander,694,1301,57.8%,20543,1200
HIRAI,Asian and Pacific Islander,694,1301,83.1%,27235,835
PONG,Asian and Pacific Islander,692,1303,81.7%,26946,847
PACHECO,Asian and Pacific Islander,691,1304,1.2%,512,58534
MATSUNAGA,Asian and Pacific Islander,691,1304,85.6%,27970,807
SOONG,Asian and Pacific Islander,691,1304,86.4%,28166,800
ACHARYA,Asian and Pacific Islander,690,1307,91.5%,29516,754
COLEMAN,Asian and Pacific Islander,688,1308,0.3%,102,208624
HOQUE,Asian and Pacific Islander,688,1308,78.5%,26239,876
SAKATA,Asian and Pacific Islander,688,1308,81.3%,26968,846
ATWAL,Asian and Pacific Islander,688,1308,88.2%,28730,780
HIGUCHI,Asian and Pacific Islander,686,1312,84.4%,27821,813
MIZUNO,Asian and Pacific Islander,686,1312,87.1%,28489,788
PIMENTEL,Asian and Pacific Islander,685,1314,4.2%,2031,16358
NITTA,Asian and Pacific Islander,685,1314,67.7%,23428,1012
SIDDIQUE,Asian and Pacific Islander,685,1314,81.8%,27176,837
LIAN,Asian and Pacific Islander,684,1317,56.6%,20427,1209
ANDO,Asian and Pacific Islander,684,1317,61.1%,21694,1119
PONCE,Asian and Pacific Islander,683,1319,1.9%,895,35400
AGBAYANI,Asian and Pacific Islander,683,1319,83.0%,27562,823
JENG,Asian and Pacific Islander,682,1321,85.4%,28194,799
CONSTANTINO,Asian and Pacific Islander,681,1322,14.7%,6716,4634
SURI,Asian and Pacific Islander,679,1323,64.8%,22821,1048
JAVED,Asian and Pacific Islander,679,1323,72.7%,24969,934
KRISHNA,Asian and Pacific Islander,679,1323,83.7%,27877,811
NAKAJIMA,Asian and Pacific Islander,679,1323,90.2%,29543,753
NGAN,Asian and Pacific Islander,679,1323,94.8%,30716,716
THAKUR,Asian and Pacific Islander,678,1328,87.1%,28790,778
ZHUANG,Asian and Pacific Islander,678,1328,98.3%,31658,690
PALMER,Asian and Pacific Islander,677,1330,0.5%,158,150407
CHOKSHI,Asian and Pacific Islander,677,1330,92.1%,30091,735
RUBIO,Asian and Pacific Islander,676,1332,1.9%,866,36531
LEO,Asian and Pacific Islander,675,1333,8.8%,4296,7638
TARIQ,Asian and Pacific Islander,675,1333,76.3%,26035,885
PANDIT,Asian and Pacific Islander,675,1333,92.0%,30120,734
IBRAHIM,Asian and Pacific Islander,674,1336,7.8%,3785,8590
BONDOC,Asian and Pacific Islander,674,1336,80.0%,27028,843
UEDA,Asian and Pacific Islander,674,1336,86.0%,28617,784
MATSUO,Asian and Pacific Islander,674,1336,86.3%,28700,781
NAKANISHI,Asian and Pacific Islander,673,1340,81.5%,27475,826
PEI,Asian and Pacific Islander,673,1340,93.0%,30443,724
DEY,Asian and Pacific Islander,672,1342,18.7%,8441,3596
MINA,Asian and Pacific Islander,672,1342,27.7%,11844,2422
KAWAHARA,Asian and Pacific Islander,672,1342,85.7%,28617,784
SCHMIDT,Asian and Pacific Islander,670,1345,0.5%,171,145565
JOHNSTON,Asian and Pacific Islander,670,1345,0.5%,207,128935
GROVER,Asian and Pacific Islander,670,1345,4.0%,2010,16551
TIWARI,Asian and Pacific Islander,669,1348,74.4%,25735,899
MARUYAMA,Asian and Pacific Islander,669,1348,82.5%,27877,811
JEE,Asian and Pacific Islander,669,1348,82.9%,27970,807
IWATA,Asian and Pacific Islander,668,1351,82.1%,27802,814
SULTAN,Asian and Pacific Islander,667,1352,28.1%,12070,2372
OK,Asian and Pacific Islander,667,1352,78.5%,26876,850
RICHARDS,Asian and Pacific Islander,666,1354,0.5%,215,125653
LARSON,Asian and Pacific Islander,666,1354,0.6%,224,121064
IBARRA,Asian and Pacific Islander,666,1354,1.4%,662,46895
GIBSON,Asian and Pacific Islander,664,1357,0.4%,119,184420
WAGNER,Asian and Pacific Islander,664,1357,0.4%,152,154516
VANN,Asian and Pacific Islander,664,1357,4.5%,2280,14602
NAGAI,Asian and Pacific Islander,664,1357,85.3%,28790,778
BENJAMIN,Asian and Pacific Islander,663,1361,1.8%,868,36439
HERR,Asian and Pacific Islander,663,1361,5.3%,2663,12466
SAY,Asian and Pacific Islander,662,1363,31.0%,13112,2138
TIN,Asian and Pacific Islander,662,1363,86.1%,29040,769
FORD,Asian and Pacific Islander,660,1365,0.4%,124,178397
JAFRI,Asian and Pacific Islander,660,1365,82.1%,28049,804
PORTER,Asian and Pacific Islander,659,1367,0.4%,148,156848
BERNABE,Asian and Pacific Islander,659,1367,21.2%,9614,3103
ARSHAD,Asian and Pacific Islander,659,1367,74.2%,25969,888
XING,Asian and Pacific Islander,659,1367,94.4%,31389,698
AVILA,Asian and Pacific Islander,657,1371,0.9%,421,69843
JULIAN,Asian and Pacific Islander,657,1371,4.5%,2277,14625
NAIDU,Asian and Pacific Islander,657,1371,76.2%,26587,862
SHIU,Asian and Pacific Islander,657,1371,92.3%,30868,712
RIAZ,Asian and Pacific Islander,656,1375,74.3%,26078,883
HSIUNG,Asian and Pacific Islander,655,1376,95.1%,31704,689
LEM,Asian and Pacific Islander,654,1377,61.9%,22706,1056
MASON,Asian and Pacific Islander,653,1378,0.4%,149,155484
ARAGON,Asian and Pacific Islander,653,1378,3.2%,1588,20723
PAULINO,Asian and Pacific Islander,653,1378,8.3%,4192,7840
FUJIOKA,Asian and Pacific Islander,653,1378,85.9%,29325,760
JENSEN,Asian and Pacific Islander,652,1382,0.6%,244,112332
SUK,Asian and Pacific Islander,652,1382,66.7%,24061,978
CAYABYAB,Asian and Pacific Islander,652,1382,87.2%,29696,748
RAMAKRISHNAN,Asian and Pacific Islander,652,1382,95.6%,31958,682
YABUT,Asian and Pacific Islander,650,1386,94.1%,31621,691
CARLSON,Asian and Pacific Islander,649,1387,0.5%,225,120124
GRIFFIN,Asian and Pacific Islander,648,1388,0.3%,114,190636
DEVI,Asian and Pacific Islander,648,1388,81.1%,28194,799
KELLEY,Asian and Pacific Islander,647,1390,0.5%,184,137555
CABRAL,Asian and Pacific Islander,647,1390,3.3%,1696,19384
SALIM,Asian and Pacific Islander,647,1390,32.7%,13989,1979
SUNDARAM,Asian and Pacific Islander,647,1390,90.6%,30791,714
LANE,Asian and Pacific Islander,644,1394,0.5%,209,128727
BERNAL,Asian and Pacific Islander,644,1394,2.2%,1089,29418
KAUL,Asian and Pacific Islander,644,1394,24.1%,10933,2671
BHAVSAR,Asian and Pacific Islander,644,1394,93.3%,31658,690
SHARIF,Asian and Pacific Islander,643,1398,25.9%,11595,2484
KHAWAJA,Asian and Pacific Islander,643,1398,64.8%,23796,992
PAZ,Asian and Pacific Islander,642,1400,3.6%,1858,17776
NAKAHARA,Asian and Pacific Islander,642,1400,86.1%,29758,746
OKA,Asian and Pacific Islander,640,1402,72.4%,26056,884
LARA,Asian and Pacific Islander,639,1403,1.1%,501,59731
BASILIO,Asian and Pacific Islander,639,1403,33.2%,14283,1924
BACCAM,Asian and Pacific Islander,639,1403,90.5%,31085,706
YAGI,Asian and Pacific Islander,638,1406,75.8%,27049,842
AHSAN,Asian and Pacific Islander,638,1406,84.4%,29447,756
SHANG,Asian and Pacific Islander,638,1406,88.5%,30552,721
BHATNAGAR,Asian and Pacific Islander,638,1406,90.9%,31235,702
LOBO,Asian and Pacific Islander,637,1410,19.2%,9039,3325
SENGUPTA,Asian and Pacific Islander,637,1410,88.5%,30582,720
TSOU,Asian and Pacific Islander,637,1410,90.7%,31235,702
PRABHU,Asian and Pacific Islander,637,1410,92.6%,31738,688
CHAKRABORTY,Asian and Pacific Islander,637,1410,93.7%,32026,680
WARREN,Asian and Pacific Islander,636,1415,0.4%,166,147906
OTSUKA,Asian and Pacific Islander,634,1416,81.2%,28700,781
KOYAMA,Asian and Pacific Islander,634,1416,81.3%,28730,780
SABADO,Asian and Pacific Islander,633,1418,61.8%,23221,1025
KAZMI,Asian and Pacific Islander,633,1418,77.6%,27744,816
CRAWFORD,Asian and Pacific Islander,632,1420,0.4%,146,158121
SAR,Asian and Pacific Islander,632,1420,72.1%,26215,877
XIANG,Asian and Pacific Islander,632,1420,98.4%,33528,642
WELLS,Asian and Pacific Islander,631,1423,0.4%,131,170635
BLACK,Asian and Pacific Islander,631,1423,0.4%,160,150186
FELIPE,Asian and Pacific Islander,631,1423,15.9%,7740,3958
TSUJI,Asian and Pacific Islander,631,1423,86.6%,30292,729
TY,Asian and Pacific Islander,630,1427,84.3%,29728,747
SIT,Asian and Pacific Islander,630,1427,89.5%,31167,704
OTANI,Asian and Pacific Islander,629,1429,77.2%,27771,815
TOKUNAGA,Asian and Pacific Islander,629,1429,82.7%,29296,761
TSOI,Asian and Pacific Islander,627,1431,90.0%,31426,697
FERGUSON,Asian and Pacific Islander,626,1432,0.4%,173,142256
CHIM,Asian and Pacific Islander,626,1432,80.1%,28674,782
LALANI,Asian and Pacific Islander,626,1432,83.7%,29696,748
SURESH,Asian and Pacific Islander,626,1432,92.3%,32094,678
DER,Asian and Pacific Islander,625,1436,69.1%,25610,905
BHALLA,Asian and Pacific Islander,625,1436,83.8%,29758,746
PINTO,Asian and Pacific Islander,624,1438,3.6%,1883,17488
BIBI,Asian and Pacific Islander,623,1439,65.2%,24529,955
JOHAL,Asian and Pacific Islander,623,1439,84.8%,30091,735
TIU,Asian and Pacific Islander,623,1439,85.5%,30292,729
HANSON,Asian and Pacific Islander,622,1442,0.6%,251,109079
LATIF,Asian and Pacific Islander,622,1442,45.5%,18594,1367
BEDI,Asian and Pacific Islander,622,1442,70.5%,26104,882
MAYEDA,Asian and Pacific Islander,622,1442,75.7%,27595,822
WEBB,Asian and Pacific Islander,621,1446,0.4%,137,163481
ROJAS,Asian and Pacific Islander,621,1446,0.8%,393,73071
YADAO,Asian and Pacific Islander,621,1446,71.5%,26446,868
NAZARENO,Asian and Pacific Islander,621,1446,91.2%,31986,681
SEHGAL,Asian and Pacific Islander,619,1450,84.1%,30061,736
SOU,Asian and Pacific Islander,619,1450,84.6%,30199,732
HUNTER,Asian and Pacific Islander,618,1452,0.4%,153,154410
CABALLERO,Asian and Pacific Islander,618,1452,3.0%,1620,20270
GOPAL,Asian and Pacific Islander,618,1452,85.1%,30383,726
BERMUDEZ,Asian and Pacific Islander,617,1455,3.2%,1689,19451
YAMANAKA,Asian and Pacific Islander,617,1455,84.2%,30161,733
BRAHMBHATT,Asian and Pacific Islander,617,1455,91.0%,32094,678
ROBERTSON,Asian and Pacific Islander,616,1458,0.4%,159,150299
LATU,Asian and Pacific Islander,616,1458,79.2%,28790,778
TERUYA,Asian and Pacific Islander,616,1458,88.6%,31492,695
BENITEZ,Asian and Pacific Islander,615,1461,1.8%,957,33441
MUHAMMAD,Asian and Pacific Islander,615,1461,4.4%,2379,13972
HOY,Asian and Pacific Islander,615,1461,6.5%,3437,9522
JAMIL,Asian and Pacific Islander,614,1464,49.6%,20041,1238
PU,Asian and Pacific Islander,614,1464,80.8%,29325,760
SEKHON,Asian and Pacific Islander,614,1464,86.5%,30929,710
PUNZALAN,Asian and Pacific Islander,614,1464,88.6%,31563,693
BOYD,Asian and Pacific Islander,613,1468,0.4%,164,149476
ALEJANDRO,Asian and Pacific Islander,613,1468,10.5%,5468,5847
MATTHEWS,Asian and Pacific Islander,612,1470,0.5%,217,124839
OBRIEN,Asian and Pacific Islander,612,1470,0.5%,234,115385
BASHIR,Asian and Pacific Islander,612,1470,37.6%,16283,1629
DANIELS,Asian and Pacific Islander,611,1473,0.4%,180,138776
ARMSTRONG,Asian and Pacific Islander,611,1473,0.5%,204,129982
DIONISIO,Asian and Pacific Islander,611,1473,39.2%,16838,1560
VI,Asian and Pacific Islander,611,1473,82.6%,29932,740
CHOUDHARY,Asian and Pacific Islander,611,1473,85.0%,30614,719
SAYAVONG,Asian and Pacific Islander,611,1473,91.9%,32567,665
GARDNER,Asian and Pacific Islander,610,1479,0.4%,182,138660
NASIR,Asian and Pacific Islander,610,1479,48.6%,19840,1254
HART,Asian and Pacific Islander,609,1481,0.5%,196,132466
FATIMA,Asian and Pacific Islander,609,1481,80.3%,29390,758
HORI,Asian and Pacific Islander,608,1483,81.3%,29696,748
KALRA,Asian and Pacific Islander,608,1483,87.4%,31464,696
BI,Asian and Pacific Islander,608,1483,88.1%,31658,690
DIXIT,Asian and Pacific Islander,608,1483,91.6%,32609,664
QUIJANO,Asian and Pacific Islander,607,1487,16.5%,8260,3689
TAILOR,Asian and Pacific Islander,607,1487,65.8%,25221,922
SHENOY,Asian and Pacific Islander,607,1487,92.0%,32782,660
CHIEM,Asian and Pacific Islander,607,1487,96.2%,34038,631
DIAS,Asian and Pacific Islander,606,1491,4.4%,2398,13847
MURAOKA,Asian and Pacific Islander,606,1491,80.2%,29447,756
ARCE,Asian and Pacific Islander,605,1493,4.1%,2249,14855
NODA,Asian and Pacific Islander,605,1493,48.2%,19828,1255
KAWAI,Asian and Pacific Islander,605,1493,85.1%,30900,711
SALINAS,Asian and Pacific Islander,604,1496,1.0%,490,61582
HILARIO,Asian and Pacific Islander,604,1496,24.1%,11500,2511
TOOR,Asian and Pacific Islander,604,1496,67.8%,25908,891
TAKAGI,Asian and Pacific Islander,604,1496,80.5%,29625,750
CHAHAL,Asian and Pacific Islander,604,1496,83.0%,30324,728
OLIVER,Asian and Pacific Islander,603,1501,0.5%,248,111641
TEE,Asian and Pacific Islander,603,1501,43.7%,18461,1381
NIE,Asian and Pacific Islander,603,1501,62.7%,24406,961
NAKAMA,Asian and Pacific Islander,603,1501,84.2%,30716,716
THAKER,Asian and Pacific Islander,603,1501,87.8%,31774,687
YUM,Asian and Pacific Islander,603,1501,94.5%,33690,638
FREEMAN,Asian and Pacific Islander,602,1507,0.4%,140,162686
TEO,Asian and Pacific Islander,602,1507,68.3%,26125,881
BORROMEO,Asian and Pacific Islander,602,1507,72.1%,27235,835
KHURANA,Asian and Pacific Islander,602,1507,90.1%,32460,668
AFZAL,Asian and Pacific Islander,601,1511,65.2%,25221,922
MENESES,Asian and Pacific Islander,600,1512,10.5%,5593,5695
OKUBO,Asian and Pacific Islander,600,1512,85.2%,31167,704
GOROSPE,Asian and Pacific Islander,599,1514,72.3%,27413,828
SHROFF,Asian and Pacific Islander,597,1515,76.1%,28617,784
LIEW,Asian and Pacific Islander,597,1515,93.9%,33782,636
ZHAN,Asian and Pacific Islander,597,1515,96.9%,34711,616
RANI,Asian and Pacific Islander,596,1518,84.9%,31235,702
LABRADOR,Asian and Pacific Islander,595,1519,37.3%,16554,1597
BAL,Asian and Pacific Islander,595,1519,44.9%,19018,1325
NEPOMUCENO,Asian and Pacific Islander,595,1519,65.7%,25591,906
IMAMURA,Asian and Pacific Islander,595,1519,82.3%,30483,723
NOGUCHI,Asian and Pacific Islander,595,1519,85.1%,31339,699
RHO,Asian and Pacific Islander,595,1519,89.3%,32529,666
THANG,Asian and Pacific Islander,595,1519,92.5%,33471,643
ISAAC,Asian and Pacific Islander,594,1526,3.6%,2039,16312
DACANAY,Asian and Pacific Islander,594,1526,76.3%,28751,779
OSHIMA,Asian and Pacific Islander,593,1528,85.1%,31426,697
MILLS,Asian and Pacific Islander,592,1529,0.4%,165,147909
CUEVAS,Asian and Pacific Islander,592,1529,1.8%,993,32015
DASGUPTA,Asian and Pacific Islander,592,1529,87.6%,32161,676
SAEPHANH,Asian and Pacific Islander,592,1529,93.4%,33876,634
WOODS,Asian and Pacific Islander,591,1533,0.4%,133,168814
PAREDES,Asian and Pacific Islander,591,1533,3.2%,1758,18689
ARIF,Asian and Pacific Islander,591,1533,68.6%,26587,862
CHAUDHARI,Asian and Pacific Islander,591,1533,93.4%,33933,633
MORRISON,Asian and Pacific Islander,590,1537,0.5%,231,117939
LAMA,Asian and Pacific Islander,590,1537,33.5%,15299,1763
ROSETE,Asian and Pacific Islander,590,1537,44.1%,18875,1339
TEA,Asian and Pacific Islander,590,1537,60.0%,23968,983
