Name,"% Frequency","Approximate Number","Rank","Gender"
GALE,0.008,11672,784,Male
BENNETT,0.008,11672,785,Male
OCTAVIO,0.008,11672,786,Male
CORNELL,0.008,11672,787,Male
LAVERNE,0.008,11672,788,Male
HUNG,0.008,11672,789,Male
ARRON,0.008,11672,790,Male
ANTONY,0.008,11672,791,Male
HERSCHEL,0.007,10213,792,Male
ALVA,0.007,10213,793,Male
GIOVANNI,0.007,10213,794,Male
GARTH,0.007,10213,795,Male
CYRUS,0.007,10213,796,Male
CYRIL,0.007,10213,797,Male
RONNY,0.007,10213,798,Male
STEVIE,0.007,10213,799,Male
LON,0.007,10213,800,Male
FREEMAN,0.007,10213,801,Male
ERIN,0.007,10213,802,Male
DUNCAN,0.007,10213,803,Male
KENNITH,0.007,10213,804,Male
CARMINE,0.007,10213,805,Male
AUGUSTINE,0.007,10213,806,Male
YOUNG,0.007,10213,807,Male
ERICH,0.007,10213,808,Male
CHADWICK,0.007,10213,809,Male
WILBURN,0.007,10213,810,Male
RUSS,0.007,10213,811,Male
REID,0.007,10213,812,Male
MYLES,0.007,10213,813,Male
ANDERSON,0.007,10213,814,Male
MORTON,0.007,10213,815,Male
JONAS,0.007,10213,816,Male
FOREST,0.007,10213,817,Male
MITCHEL,0.007,10213,818,Male
MERVIN,0.007,10213,819,Male
ZANE,0.007,10213,820,Male
RICH,0.007,10213,821,Male
JAMEL,0.007,10213,822,Male
LAZARO,0.007,10213,823,Male
ALPHONSE,0.007,10213,824,Male
RANDELL,0.007,10213,825,Male
MAJOR,0.007,10213,826,Male
JOHNIE,0.007,10213,827,Male
JARRETT,0.007,10213,828,Male
BROOKS,0.007,10213,829,Male
ARIEL,0.007,10213,830,Male
ABDUL,0.007,10213,831,Male
DUSTY,0.007,10213,832,Male
LUCIANO,0.007,10213,833,Male
LINDSEY,0.007,10213,834,Male
TRACEY,0.007,10213,835,Male
SEYMOUR,0.007,10213,836,Male
SCOTTIE,0.007,10213,837,Male
EUGENIO,0.007,10213,838,Male
MOHAMMED,0.007,10213,839,Male
SANDY,0.007,10213,840,Male
VALENTIN,0.007,10213,841,Male
CHANCE,0.007,10213,842,Male
ARNULFO,0.007,10213,843,Male
LUCIEN,0.007,10213,844,Male
FERDINAND,0.007,10213,845,Male
THAD,0.007,10213,846,Male
EZRA,0.007,10213,847,Male
SYDNEY,0.007,10213,848,Male
ALDO,0.007,10213,849,Male
RUBIN,0.006,8754,850,Male
ROYAL,0.006,8754,851,Male
MITCH,0.006,8754,852,Male
EARLE,0.006,8754,853,Male
ABE,0.006,8754,854,Male
WYATT,0.006,8754,855,Male
MARQUIS,0.006,8754,856,Male
LANNY,0.006,8754,857,Male
KAREEM,0.006,8754,858,Male
JAMAR,0.006,8754,859,Male
BORIS,0.006,8754,860,Male
ISIAH,0.006,8754,861,Male
EMILE,0.006,8754,862,Male
ELMO,0.006,8754,863,Male
ARON,0.006,8754,864,Male
LEOPOLDO,0.006,8754,865,Male
EVERETTE,0.006,8754,866,Male
JOSEF,0.006,8754,867,Male
GAIL,0.006,8754,868,Male
ELOY,0.006,8754,869,Male
DORIAN,0.006,8754,870,Male
RODRICK,0.006,8754,871,Male
REINALDO,0.006,8754,872,Male
LUCIO,0.006,8754,873,Male
JERROD,0.006,8754,874,Male
WESTON,0.006,8754,875,Male
HERSHEL,0.006,8754,876,Male
BARTON,0.006,8754,877,Male
PARKER,0.006,8754,878,Male
LEMUEL,0.006,8754,879,Male
LAVERN,0.006,8754,880,Male
BURT,0.006,8754,881,Male
JULES,0.006,8754,882,Male
GIL,0.006,8754,883,Male
ELISEO,0.006,8754,884,Male
AHMAD,0.006,8754,885,Male
NIGEL,0.006,8754,886,Male
EFREN,0.006,8754,887,Male
ANTWAN,0.006,8754,888,Male
ALDEN,0.006,8754,889,Male
MARGARITO,0.006,8754,890,Male
COLEMAN,0.006,8754,891,Male
REFUGIO,0.006,8754,892,Male
DINO,0.006,8754,893,Male
OSVALDO,0.006,8754,894,Male
LES,0.006,8754,895,Male
DEANDRE,0.006,8754,896,Male
NORMAND,0.006,8754,897,Male
KIETH,0.006,8754,898,Male
IVORY,0.006,8754,899,Male
ANDREA,0.006,8754,900,Male
HAL,0.013,18966,601,Male
BRAIN,0.013,18966,602,Male
ROB,0.013,18966,603,Male
ELWOOD,0.013,18966,604,Male
KENDRICK,0.013,18966,605,Male
DARIUS,0.013,18966,606,Male
MOISES,0.013,18966,607,Male
SON,0.012,17508,608,Male
MARLIN,0.012,17508,609,Male
FIDEL,0.012,17508,610,Male
THADDEUS,0.012,17508,611,Male
CLIFF,0.012,17508,612,Male
MARCEL,0.012,17508,613,Male
ALI,0.012,17508,614,Male
JACKSON,0.012,17508,615,Male
RAPHAEL,0.012,17508,616,Male
BRYON,0.012,17508,617,Male
ARMAND,0.012,17508,618,Male
ALVARO,0.012,17508,619,Male
JEFFRY,0.012,17508,620,Male
DANE,0.012,17508,621,Male
JOESPH,0.012,17508,622,Male
THURMAN,0.012,17508,623,Male
NED,0.012,17508,624,Male
SAMMIE,0.012,17508,625,Male
RUSTY,0.012,17508,626,Male
MICHEL,0.012,17508,627,Male
MONTY,0.012,17508,628,Male
RORY,0.012,17508,629,Male
FABIAN,0.012,17508,630,Male
REGGIE,0.012,17508,631,Male
MASON,0.012,17508,632,Male
GRAHAM,0.012,17508,633,Male
KRIS,0.011,16049,634,Male
ISAIAH,0.011,16049,635,Male
VAUGHN,0.011,16049,636,Male
GUS,0.011,16049,637,Male
AVERY,0.011,16049,638,Male
LOYD,0.011,16049,639,Male
DIEGO,0.011,16049,640,Male
ALEXIS,0.011,16049,641,Male
ADOLPH,0.011,16049,642,Male
NORRIS,0.011,16049,643,Male
MILLARD,0.011,16049,644,Male
ROCCO,0.011,16049,645,Male
GONZALO,0.011,16049,646,Male
DERICK,0.011,16049,647,Male
RODRIGO,0.011,16049,648,Male
GERRY,0.011,16049,649,Male
STACEY,0.011,16049,650,Male
CARMEN,0.011,16049,651,Male
WILEY,0.011,16049,652,Male
RIGOBERTO,0.011,16049,653,Male
ALPHONSO,0.011,16049,654,Male
TY,0.011,16049,655,Male
SHELBY,0.011,16049,656,Male
RICKIE,0.011,16049,657,Male
NOE,0.011,16049,658,Male
VERN,0.01,14590,659,Male
BOBBIE,0.01,14590,660,Male
REED,0.01,14590,661,Male
JEFFERSON,0.01,14590,662,Male
ELVIS,0.01,14590,663,Male
BERNARDO,0.01,14590,664,Male
MAURICIO,0.01,14590,665,Male
HIRAM,0.01,14590,666,Male
DONOVAN,0.01,14590,667,Male
BASIL,0.01,14590,668,Male
RILEY,0.01,14590,669,Male
OLLIE,0.01,14590,670,Male
NICKOLAS,0.01,14590,671,Male
MAYNARD,0.01,14590,672,Male
SCOT,0.01,14590,673,Male
VINCE,0.01,14590,674,Male
QUINCY,0.01,14590,675,Male
EDDY,0.01,14590,676,Male
SEBASTIAN,0.01,14590,677,Male
FEDERICO,0.01,14590,678,Male
ULYSSES,0.01,14590,679,Male
HERIBERTO,0.01,14590,680,Male
DONNELL,0.01,14590,681,Male
COLE,0.01,14590,682,Male
DENNY,0.01,14590,683,Male
DAVIS,0.01,14590,684,Male
GAVIN,0.01,14590,685,Male
EMERY,0.01,14590,686,Male
WARD,0.01,14590,687,Male
ROMEO,0.01,14590,688,Male
JAYSON,0.01,14590,689,Male
DION,0.01,14590,690,Male
DANTE,0.01,14590,691,Male
CLEMENT,0.01,14590,692,Male
COY,0.01,14590,693,Male
ODELL,0.01,14590,694,Male
MAXWELL,0.01,14590,695,Male
JARVIS,0.01,14590,696,Male
BRUNO,0.01,14590,697,Male
ISSAC,0.01,14590,698,Male
MARY,0.009,13131,699,Male
DUDLEY,0.009,13131,700,Male
BROCK,0.009,13131,701,Male
SANFORD,0.009,13131,702,Male
COLBY,0.009,13131,703,Male
CARMELO,0.009,13131,704,Male
BARNEY,0.009,13131,705,Male
NESTOR,0.009,13131,706,Male
HOLLIS,0.009,13131,707,Male
STEFAN,0.009,13131,708,Male
DONNY,0.009,13131,709,Male
ART,0.009,13131,710,Male
LINWOOD,0.009,13131,711,Male
BEAU,0.009,13131,712,Male
WELDON,0.009,13131,713,Male
GALEN,0.009,13131,714,Male
ISIDRO,0.009,13131,715,Male
TRUMAN,0.009,13131,716,Male
DELMAR,0.009,13131,717,Male
JOHNATHON,0.009,13131,718,Male
SILAS,0.009,13131,719,Male
FREDERIC,0.009,13131,720,Male
DICK,0.009,13131,721,Male
KIRBY,0.009,13131,722,Male
IRWIN,0.009,13131,723,Male
CRUZ,0.009,13131,724,Male
MERLIN,0.009,13131,725,Male
MERRILL,0.009,13131,726,Male
CHARLEY,0.009,13131,727,Male
MARCELINO,0.009,13131,728,Male
LANE,0.009,13131,729,Male
HARRIS,0.009,13131,730,Male
CLEO,0.009,13131,731,Male
CARLO,0.009,13131,732,Male
TRENTON,0.009,13131,733,Male
KURTIS,0.009,13131,734,Male
HUNTER,0.009,13131,735,Male
AURELIO,0.009,13131,736,Male
WINFRED,0.009,13131,737,Male
VITO,0.009,13131,738,Male
COLLIN,0.009,13131,739,Male
DENVER,0.009,13131,740,Male
CARTER,0.009,13131,741,Male
LEONEL,0.008,11672,742,Male
EMORY,0.008,11672,743,Male
PASQUALE,0.008,11672,744,Male
MOHAMMAD,0.008,11672,745,Male
MARIANO,0.008,11672,746,Male
DANIAL,0.008,11672,747,Male
BLAIR,0.008,11672,748,Male
LANDON,0.008,11672,749,Male
DIRK,0.008,11672,750,Male
BRANDEN,0.008,11672,751,Male
ADAN,0.008,11672,752,Male
NUMBERS,0.008,11672,753,Male
CLAIR,0.008,11672,754,Male
BUFORD,0.008,11672,755,Male
GERMAN,0.008,11672,756,Male
BERNIE,0.008,11672,757,Male
WILMER,0.008,11672,758,Male
JOAN,0.008,11672,759,Male
EMERSON,0.008,11672,760,Male
ZACHERY,0.008,11672,761,Male
FLETCHER,0.008,11672,762,Male
JACQUES,0.008,11672,763,Male
ERROL,0.008,11672,764,Male
DALTON,0.008,11672,765,Male
MONROE,0.008,11672,766,Male
JOSUE,0.008,11672,767,Male
DOMINIQUE,0.008,11672,768,Male
EDWARDO,0.008,11672,769,Male
BOOKER,0.008,11672,770,Male
WILFORD,0.008,11672,771,Male
SONNY,0.008,11672,772,Male
SHELTON,0.008,11672,773,Male
CARSON,0.008,11672,774,Male
THERON,0.008,11672,775,Male
RAYMUNDO,0.008,11672,776,Male
DAREN,0.008,11672,777,Male
TRISTAN,0.008,11672,778,Male
HOUSTON,0.008,11672,779,Male
ROBBY,0.008,11672,780,Male
LINCOLN,0.008,11672,781,Male
JAME,0.008,11672,782,Male
GENARO,0.008,11672,783,Male
GALE,0.008,11672,784,Male
BENNETT,0.008,11672,785,Male
OCTAVIO,0.008,11672,786,Male
CORNELL,0.008,11672,787,Male
LAVERNE,0.008,11672,788,Male
HUNG,0.008,11672,789,Male
ARRON,0.008,11672,790,Male
ANTONY,0.008,11672,791,Male
HERSCHEL,0.007,10213,792,Male
ALVA,0.007,10213,793,Male
GIOVANNI,0.007,10213,794,Male
GARTH,0.007,10213,795,Male
CYRUS,0.007,10213,796,Male
CYRIL,0.007,10213,797,Male
RONNY,0.007,10213,798,Male
STEVIE,0.007,10213,799,Male
LON,0.007,10213,800,Male
FREEMAN,0.007,10213,801,Male
ERIN,0.007,10213,802,Male
DUNCAN,0.007,10213,803,Male
KENNITH,0.007,10213,804,Male
CARMINE,0.007,10213,805,Male
AUGUSTINE,0.007,10213,806,Male
YOUNG,0.007,10213,807,Male
ERICH,0.007,10213,808,Male
CHADWICK,0.007,10213,809,Male
WILBURN,0.007,10213,810,Male
RUSS,0.007,10213,811,Male
REID,0.007,10213,812,Male
MYLES,0.007,10213,813,Male
ANDERSON,0.007,10213,814,Male
MORTON,0.007,10213,815,Male
JONAS,0.007,10213,816,Male
FOREST,0.007,10213,817,Male
MITCHEL,0.007,10213,818,Male
MERVIN,0.007,10213,819,Male
ZANE,0.007,10213,820,Male
RICH,0.007,10213,821,Male
JAMEL,0.007,10213,822,Male
LAZARO,0.007,10213,823,Male
ALPHONSE,0.007,10213,824,Male
RANDELL,0.007,10213,825,Male
MAJOR,0.007,10213,826,Male
JOHNIE,0.007,10213,827,Male
JARRETT,0.007,10213,828,Male
BROOKS,0.007,10213,829,Male
ARIEL,0.007,10213,830,Male
ABDUL,0.007,10213,831,Male
DUSTY,0.007,10213,832,Male
LUCIANO,0.007,10213,833,Male
LINDSEY,0.007,10213,834,Male
TRACEY,0.007,10213,835,Male
SEYMOUR,0.007,10213,836,Male
SCOTTIE,0.007,10213,837,Male
EUGENIO,0.007,10213,838,Male
MOHAMMED,0.007,10213,839,Male
SANDY,0.007,10213,840,Male
VALENTIN,0.007,10213,841,Male
CHANCE,0.007,10213,842,Male
ARNULFO,0.007,10213,843,Male
LUCIEN,0.007,10213,844,Male
FERDINAND,0.007,10213,845,Male
THAD,0.007,10213,846,Male
EZRA,0.007,10213,847,Male
SYDNEY,0.007,10213,848,Male
ALDO,0.007,10213,849,Male
RUBIN,0.006,8754,850,Male
ROYAL,0.006,8754,851,Male
MITCH,0.006,8754,852,Male
EARLE,0.006,8754,853,Male
ABE,0.006,8754,854,Male
WYATT,0.006,8754,855,Male
MARQUIS,0.006,8754,856,Male
LANNY,0.006,8754,857,Male
KAREEM,0.006,8754,858,Male
JAMAR,0.006,8754,859,Male
BORIS,0.006,8754,860,Male
ISIAH,0.006,8754,861,Male
EMILE,0.006,8754,862,Male
ELMO,0.006,8754,863,Male
ARON,0.006,8754,864,Male
LEOPOLDO,0.006,8754,865,Male
EVERETTE,0.006,8754,866,Male
JOSEF,0.006,8754,867,Male
GAIL,0.006,8754,868,Male
ELOY,0.006,8754,869,Male
DORIAN,0.006,8754,870,Male
RODRICK,0.006,8754,871,Male
REINALDO,0.006,8754,872,Male
LUCIO,0.006,8754,873,Male
JERROD,0.006,8754,874,Male
WESTON,0.006,8754,875,Male
HERSHEL,0.006,8754,876,Male
BARTON,0.006,8754,877,Male
PARKER,0.006,8754,878,Male
LEMUEL,0.006,8754,879,Male
LAVERN,0.006,8754,880,Male
BURT,0.006,8754,881,Male
JULES,0.006,8754,882,Male
GIL,0.006,8754,883,Male
ELISEO,0.006,8754,884,Male
AHMAD,0.006,8754,885,Male
NIGEL,0.006,8754,886,Male
EFREN,0.006,8754,887,Male
ANTWAN,0.006,8754,888,Male
ALDEN,0.006,8754,889,Male
MARGARITO,0.006,8754,890,Male
COLEMAN,0.006,8754,891,Male
REFUGIO,0.006,8754,892,Male
DINO,0.006,8754,893,Male
OSVALDO,0.006,8754,894,Male
LES,0.006,8754,895,Male
DEANDRE,0.006,8754,896,Male
NORMAND,0.006,8754,897,Male
KIETH,0.006,8754,898,Male
IVORY,0.006,8754,899,Male
ANDREA,0.006,8754,900,Male
MARY,2.629,3991060,1,Female
PATRICIA,1.073,1628911,2,Female
LINDA,1.035,1571224,3,Female
BARBARA,0.98,1487729,4,Female
ELIZABETH,0.937,1422451,5,Female
JENNIFER,0.932,1414861,6,Female
MARIA,0.828,1256979,7,Female
SUSAN,0.794,1205364,8,Female
MARGARET,0.768,1165894,9,Female
DOROTHY,0.727,1103652,10,Female
LISA,0.704,1068736,11,Female
NANCY,0.669,1015603,12,Female
KAREN,0.667,1012567,13,Female
BETTY,0.666,1011048,14,Female
HELEN,0.663,1006494,15,Female
SANDRA,0.629,954879,16,Female
DONNA,0.583,885047,17,Female
CAROL,0.565,857721,18,Female
RUTH,0.562,853167,19,Female
SHARON,0.522,792443,20,Female
MICHELLE,0.519,787889,21,Female
LAURA,0.51,774226,22,Female
SARAH,0.508,771190,23,Female
KIMBERLY,0.504,765118,24,Female
DEBORAH,0.494,749937,25,Female
JESSICA,0.49,743864,26,Female
SHIRLEY,0.482,731720,27,Female
CYNTHIA,0.469,711985,28,Female
ANGELA,0.468,710466,29,Female
MELISSA,0.462,701358,30,Female
BRENDA,0.455,690731,31,Female
AMY,0.451,684659,32,Female
ANNA,0.44,667960,33,Female
REBECCA,0.43,652779,34,Female
VIRGINIA,0.43,652779,35,Female
KATHLEEN,0.424,643670,36,Female
PAMELA,0.416,631526,37,Female
MARTHA,0.412,625453,38,Female
DEBRA,0.408,619381,39,Female
AMANDA,0.404,613309,40,Female
STEPHANIE,0.4,607236,41,Female
CAROLYN,0.385,584465,42,Female
CHRISTINE,0.382,579911,43,Female
MARIE,0.379,575356,44,Female
JANET,0.379,575356,45,Female
CATHERINE,0.373,566248,46,Female
FRANCES,0.37,561694,47,Female
ANN,0.364,552585,48,Female
JOYCE,0.364,552585,49,Female
DIANE,0.359,544995,50,Female
ALICE,0.357,541958,51,Female
JULIE,0.348,528296,52,Female
HEATHER,0.337,511597,53,Female
TERESA,0.336,510078,54,Female
DORIS,0.335,508560,55,Female
GLORIA,0.335,508560,56,Female
EVELYN,0.322,488825,57,Female
JEAN,0.315,478199,58,Female
CHERYL,0.315,478199,59,Female
MILDRED,0.313,475162,60,Female
KATHERINE,0.313,475162,61,Female
JOAN,0.306,464536,62,Female
ASHLEY,0.303,459981,63,Female
JUDITH,0.297,450873,64,Female
ROSE,0.296,449355,65,Female
JANICE,0.285,432656,66,Female
KELLY,0.283,429620,67,Female
NICOLE,0.281,426583,68,Female
JUDY,0.276,418993,69,Female
CHRISTINA,0.275,417475,70,Female
KATHY,0.272,412921,71,Female
THERESA,0.271,411403,72,Female
BEVERLY,0.267,405330,73,Female
DENISE,0.264,400776,74,Female
TAMMY,0.259,393185,75,Female
IRENE,0.252,382559,76,Female
JANE,0.25,379523,77,Female
LORI,0.248,376486,78,Female
RACHEL,0.242,367378,79,Female
MARILYN,0.241,365860,80,Female
ANDREA,0.236,358269,81,Female
KATHRYN,0.234,355233,82,Female
LOUISE,0.229,347643,83,Female
SARA,0.229,347643,84,Female
ANNE,0.228,346125,85,Female
JACQUELINE,0.228,346125,86,Female
WANDA,0.226,343089,87,Female
BONNIE,0.223,338534,88,Female
JULIA,0.223,338534,89,Female
RUBY,0.221,335498,90,Female
LOIS,0.22,333980,91,Female
TINA,0.22,333980,92,Female
PHYLLIS,0.219,332462,93,Female
NORMA,0.218,330944,94,Female
PAULA,0.217,329426,95,Female
DIANA,0.216,327908,96,Female
ANNIE,0.216,327908,97,Female
LILLIAN,0.211,320317,98,Female
EMILY,0.208,315763,99,Female
ROBIN,0.208,315763,100,Female
PEGGY,0.208,315763,101,Female
CRYSTAL,0.207,314245,102,Female
GLADYS,0.205,311209,103,Female
RITA,0.204,309691,104,Female
DAWN,0.202,306654,105,Female
CONNIE,0.2,303618,106,Female
FLORENCE,0.2,303618,107,Female
TRACY,0.197,299064,108,Female
EDNA,0.197,299064,109,Female
TIFFANY,0.195,296028,110,Female
CARMEN,0.195,296028,111,Female
ROSA,0.194,294510,112,Female
CINDY,0.192,291473,113,Female
GRACE,0.189,286919,114,Female
WENDY,0.185,280847,115,Female
VICTORIA,0.18,273256,116,Female
EDITH,0.179,271738,117,Female
KIM,0.178,270220,118,Female
SHERRY,0.178,270220,119,Female
SYLVIA,0.177,268702,120,Female
JOSEPHINE,0.177,268702,121,Female
THELMA,0.175,265666,122,Female
SHANNON,0.175,265666,123,Female
SHEILA,0.175,265666,124,Female
ETHEL,0.174,264148,125,Female
ELLEN,0.173,262630,126,Female
ELAINE,0.173,262630,127,Female
MARJORIE,0.173,262630,128,Female
CARRIE,0.171,259594,129,Female
CHARLOTTE,0.169,256557,130,Female
MONICA,0.166,252003,131,Female
ESTHER,0.166,252003,132,Female
PAULINE,0.165,250485,133,Female
EMMA,0.165,250485,134,Female
JUANITA,0.164,248967,135,Female
ANITA,0.162,245931,136,Female
RHONDA,0.162,245931,137,Female
HAZEL,0.161,244413,138,Female
AMBER,0.16,242895,139,Female
EVA,0.159,241376,140,Female
DEBBIE,0.157,238340,141,Female
APRIL,0.154,233786,142,Female
LESLIE,0.154,233786,143,Female
CLARA,0.153,232268,144,Female
LUCILLE,0.153,232268,145,Female
JAMIE,0.153,232268,146,Female
JOANNE,0.15,227714,147,Female
ELEANOR,0.15,227714,148,Female
VALERIE,0.149,226196,149,Female
DANIELLE,0.149,226196,150,Female
MEGAN,0.147,223159,151,Female
ALICIA,0.146,221641,152,Female
SUZANNE,0.145,220123,153,Female
MICHELE,0.145,220123,154,Female
GAIL,0.145,220123,155,Female
BERTHA,0.143,217087,156,Female
DARLENE,0.142,215569,157,Female
VERONICA,0.142,215569,158,Female
JILL,0.142,215569,159,Female
ERIN,0.141,214051,160,Female
GERALDINE,0.141,214051,161,Female
LAUREN,0.137,207978,162,Female
CATHY,0.137,207978,163,Female
JOANN,0.136,206460,164,Female
LORRAINE,0.135,204942,165,Female
LYNN,0.135,204942,166,Female
SALLY,0.135,204942,167,Female
REGINA,0.133,201906,168,Female
ERICA,0.13,197352,169,Female
BEATRICE,0.13,197352,170,Female
DOLORES,0.129,195834,171,Female
BERNICE,0.128,194316,172,Female
AUDREY,0.127,192798,173,Female
YVONNE,0.126,191279,174,Female
ANNETTE,0.125,189761,175,Female
JUNE,0.125,189761,176,Female
SAMANTHA,0.124,188243,177,Female
MARION,0.122,185207,178,Female
DANA,0.122,185207,179,Female
STACY,0.121,183689,180,Female
ANA,0.12,182171,181,Female
RENEE,0.12,182171,182,Female
IDA,0.118,179135,183,Female
VIVIAN,0.118,179135,184,Female
ROBERTA,0.117,177617,185,Female
HOLLY,0.117,177617,186,Female
BRITTANY,0.117,177617,187,Female
MELANIE,0.116,176099,188,Female
LORETTA,0.115,174580,189,Female
YOLANDA,0.115,174580,190,Female
JEANETTE,0.115,174580,191,Female
LAURIE,0.114,173062,192,Female
KATIE,0.113,171544,193,Female
KRISTEN,0.111,168508,194,Female
VANESSA,0.111,168508,195,Female
ALMA,0.111,168508,196,Female
SUE,0.111,168508,197,Female
ELSIE,0.11,166990,198,Female
BETH,0.11,166990,199,Female
JEANNE,0.109,165472,200,Female
VICKI,0.109,165472,201,Female
CARLA,0.107,162436,202,Female
TARA,0.107,162436,203,Female
ROSEMARY,0.107,162436,204,Female
EILEEN,0.105,159400,205,Female
TERRI,0.105,159400,206,Female
GERTRUDE,0.103,156363,207,Female
LUCY,0.103,156363,208,Female
TONYA,0.102,154845,209,Female
ELLA,0.101,153327,210,Female
STACEY,0.101,153327,211,Female
WILMA,0.099,150291,212,Female
GINA,0.099,150291,213,Female
KRISTIN,0.099,150291,214,Female
JESSIE,0.098,148773,215,Female
NATALIE,0.098,148773,216,Female
AGNES,0.098,148773,217,Female
VERA,0.098,148773,218,Female
WILLIE,0.097,147255,219,Female
CHARLENE,0.097,147255,220,Female
BESSIE,0.096,145737,221,Female
DELORES,0.095,144219,222,Female
MELINDA,0.094,142701,223,Female
PEARL,0.094,142701,224,Female
ARLENE,0.094,142701,225,Female
MAUREEN,0.092,139664,226,Female
COLLEEN,0.092,139664,227,Female
ALLISON,0.092,139664,228,Female
TAMARA,0.092,139664,229,Female
JOY,0.091,138146,230,Female
GEORGIA,0.091,138146,231,Female
CONSTANCE,0.091,138146,232,Female
LILLIE,0.09,136628,233,Female
CLAUDIA,0.09,136628,234,Female
JACKIE,0.09,136628,235,Female
MARCIA,0.09,136628,236,Female
TANYA,0.089,135110,237,Female
NELLIE,0.089,135110,238,Female
MINNIE,0.089,135110,239,Female
MARLENE,0.088,133592,240,Female
HEIDI,0.088,133592,241,Female
GLENDA,0.088,133592,242,Female
LYDIA,0.086,130556,243,Female
VIOLA,0.086,130556,244,Female
COURTNEY,0.086,130556,245,Female
MARIAN,0.086,130556,246,Female
STELLA,0.085,129038,247,Female
CAROLINE,0.085,129038,248,Female
DORA,0.084,127520,249,Female
JO,0.083,126002,250,Female
VICKIE,0.082,124483,251,Female
MATTIE,0.081,122965,252,Female
TERRY,0.08,121447,253,Female
MAXINE,0.079,119929,254,Female
IRMA,0.079,119929,255,Female
MABEL,0.078,118411,256,Female
MARSHA,0.078,118411,257,Female
MYRTLE,0.078,118411,258,Female
LENA,0.077,116893,259,Female
CHRISTY,0.077,116893,260,Female
DEANNA,0.076,115375,261,Female
PATSY,0.076,115375,262,Female
HILDA,0.075,113857,263,Female
GWENDOLYN,0.074,112339,264,Female
JENNIE,0.073,110821,265,Female
NORA,0.073,110821,266,Female
MARGIE,0.072,109303,267,Female
NINA,0.072,109303,268,Female
CASSANDRA,0.072,109303,269,Female
LEAH,0.072,109303,270,Female
PENNY,0.071,107784,271,Female
KAY,0.071,107784,272,Female
PRISCILLA,0.071,107784,273,Female
NAOMI,0.071,107784,274,Female
CAROLE,0.071,107784,275,Female
BRANDY,0.07,106266,276,Female
OLGA,0.07,106266,277,Female
BILLIE,0.069,104748,278,Female
DIANNE,0.069,104748,279,Female
TRACEY,0.069,104748,280,Female
LEONA,0.069,104748,281,Female
JENNY,0.068,103230,282,Female
FELICIA,0.068,103230,283,Female
SONIA,0.068,103230,284,Female
MIRIAM,0.066,100194,285,Female
VELMA,0.066,100194,286,Female
BECKY,0.066,100194,287,Female
BOBBIE,0.065,98676,288,Female
VIOLET,0.065,98676,289,Female
KRISTINA,0.065,98676,290,Female
TONI,0.064,97158,291,Female
MISTY,0.063,95640,292,Female
MAE,0.063,95640,293,Female
SHELLY,0.062,94122,294,Female
DAISY,0.062,94122,295,Female
RAMONA,0.062,94122,296,Female
SHERRI,0.062,94122,297,Female
ERIKA,0.061,92604,298,Female
KATRINA,0.061,92604,299,Female
CLAIRE,0.061,92604,300,Female
LINDSEY,0.06,91085,301,Female
LINDSAY,0.06,91085,302,Female
GENEVA,0.059,89567,303,Female
GUADALUPE,0.059,89567,304,Female
BELINDA,0.059,89567,305,Female
MARGARITA,0.059,89567,306,Female
SHERYL,0.059,89567,307,Female
CORA,0.058,88049,308,Female
FAYE,0.058,88049,309,Female
ADA,0.057,86531,310,Female
NATASHA,0.057,86531,311,Female
SABRINA,0.057,86531,312,Female
ISABEL,0.057,86531,313,Female
MARGUERITE,0.056,85013,314,Female
HATTIE,0.056,85013,315,Female
HARRIET,0.056,85013,316,Female
MOLLY,0.055,83495,317,Female
CECILIA,0.055,83495,318,Female
KRISTI,0.055,83495,319,Female
BRANDI,0.055,83495,320,Female
BLANCHE,0.055,83495,321,Female
SANDY,0.055,83495,322,Female
ROSIE,0.055,83495,323,Female
JOANNA,0.055,83495,324,Female
IRIS,0.055,83495,325,Female
EUNICE,0.054,81977,326,Female
ANGIE,0.054,81977,327,Female
INEZ,0.053,80459,328,Female
LYNDA,0.053,80459,329,Female
MADELINE,0.052,78941,330,Female
AMELIA,0.052,78941,331,Female
ALBERTA,0.052,78941,332,Female
GENEVIEVE,0.051,77423,333,Female
MONIQUE,0.051,77423,334,Female
JODI,0.051,77423,335,Female
JANIE,0.051,77423,336,Female
MAGGIE,0.051,77423,337,Female
KAYLA,0.051,77423,338,Female
SONYA,0.051,77423,339,Female
JAN,0.051,77423,340,Female
LEE,0.051,77423,341,Female
KRISTINE,0.051,77423,342,Female
CANDACE,0.051,77423,343,Female
FANNIE,0.05,75905,344,Female
MARYANN,0.05,75905,345,Female
OPAL,0.05,75905,346,Female
ALISON,0.05,75905,347,Female
YVETTE,0.05,75905,348,Female
MELODY,0.05,75905,349,Female
LUZ,0.049,74386,350,Female
SUSIE,0.049,74386,351,Female
OLIVIA,0.049,74386,352,Female
FLORA,0.049,74386,353,Female
SHELLEY,0.049,74386,354,Female
KRISTY,0.048,72868,355,Female
MAMIE,0.048,72868,356,Female
LULA,0.048,72868,357,Female
LOLA,0.048,72868,358,Female
VERNA,0.048,72868,359,Female
BEULAH,0.048,72868,360,Female
ANTOINETTE,0.048,72868,361,Female
CANDICE,0.046,69832,362,Female
JUANA,0.046,69832,363,Female
JEANNETTE,0.046,69832,364,Female
PAM,0.046,69832,365,Female
KELLI,0.046,69832,366,Female
